question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
"A pie chart shows the distribution of monthly expenses. The percentages are: Transport: 31%, Leisure: 32%, Rent: 31%, Savings: 6%. What is the central angle (in degrees) for the Savings sector?",21,12,22,32,C,Medium,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $500. The amounts are: Leisure: $187, Utilities: $24, Savings: $39, Rent: $117, Transport: $133. What is the central angle (in degrees) for the Savings sector?",27,38,28,42,C,Medium,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The percentages are: Rent: 31%, Food: 5%, Savings: 25%, Leisure: 31%, Transport: 8%. What is the central angle (in degrees) for the Food sector?",20,9,18,19,C,Medium,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $500. The amounts are: Savings: $242, Food: $214, Transport: $44. What is the central angle (in degrees) for the Transport sector?",33,16,31,32,D,Medium,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The percentages are: Rent: 3%, Transport: 24%, Utilities: 41%, Savings: 32%. What is the ratio of the expense on Transport to the expense on Rent (rounded to two decimal places)?",9.35,8,9.05,7,B,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $1000. The amounts are: Savings: $143, Leisure: $321, Rent: $536. What is the combined total in $ for Rent and Savings?",681,339.5,680,679,D,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The percentages are: Leisure: 8%, Food: 40%, Utilities: 52%. What is the combined total in % for Leisure and Utilities?",60,62,55,59,A,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $1000. The amounts are: Leisure: $514, Food: $104, Transport: $287, Utilities: $27, Rent: $68. What is the difference in $ between Utilities and Leisure?",487,488,486,485,A,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $1000. The amounts are: Food: $101, Rent: $203, Savings: $195, Utilities: $233, Transport: $268. What is the ratio of the expense on Savings to the expense on Food (rounded to two decimal places)?",2,2.9,3.17,1.93,D,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $1000. The amounts are: Utilities: $316, Leisure: $327, Savings: $144, Food: $200, Transport: $13. What is the difference in $ between Food and Utilities?",111,117,106,116,D,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $2500. The amounts are: Leisure: $307, Transport: $1437, Rent: $746, Food: $10. What is the combined total in $ for Leisure and Transport?",1754,1743,1744,1745,C,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The angles (in degrees) are: Transport: 119°, Utilities: 96°, Leisure: 145°. What is the combined total in ° for Transport and Leisure?",263,254,264,265,C,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $2500. The amounts are: Transport: $1319, Food: $1081, Utilities: $100. What is the combined total in $ for Transport and Utilities?",1414,1419,1429,1420,B,Hard,Math,Prep 1,3
"A pie chart shows the distribution of monthly expenses. The total monthly expense is $1200. The amounts are: Leisure: $859, Food: $293, Savings: $48. What is the difference in $ between Food and Leisure?",565,576,571,566,D,Hard,Math,Prep 1,3
"If 11:9 :: 55:x, find x.",45,135,47,46,A,Medium,Math,Prep 1,4
"If 4:3 :: 8:x, find x.",4,-12,2,6,D,Medium,Math,Prep 1,4
"If 5:11 :: 10:x, find x.",18,22,26,-44,B,Medium,Math,Prep 1,4
"If 15:5 :: 30:x, find x.",11,14,5,10,D,Medium,Math,Prep 1,4
"If 13:15 :: 39:x, find x.",41,40,45,46,C,Medium,Math,Prep 1,4
"If 13:11 :: 52:x, find x.",49,44,43,41,B,Medium,Math,Prep 1,4
"If 8:14 :: 40:x, find x.",67,-140,70,75,C,Medium,Math,Prep 1,4
"If 11:12 :: 44:x, find x.",48,144,43,44,A,Medium,Math,Prep 1,4
"Two numbers are in the ratio 2:3. If their sum is 30, what are the numbers?",12 and 18,18 and 12,-37,-23,A,Easy,Math,Prep 1,4
"Two numbers are in the ratio 2:1. If their sum is 27, what are the numbers?",9 and 18,34,18 and 9,-46,C,Easy,Math,Prep 1,4
"Two numbers are in the ratio 7:1. If their sum is 16, what are the numbers?",14 and 2,6,2 and 14,43,A,Easy,Math,Prep 1,4
"Two numbers are in the ratio 9:5. If their sum is 28, what are the numbers?",-23,10 and 18,50,18 and 10,D,Easy,Math,Prep 1,4
"Two numbers are in the ratio 5:4. If their sum is 90, what are the numbers?",32,40 and 50,50 and 40,-3,C,Easy,Math,Prep 1,4
"Two numbers are in the ratio 1:1. If their sum is 10, what are the numbers?",40,5 and 5,-3,-19,B,Easy,Math,Prep 1,4
"The ratio of boys to girls in a group is 3:2. If there are 13 more boys than girls, what is the total number of boys and girls?",65,66,68,70,A,Medium,Math,Prep 1,4
"The ratio of red marbles to blue marbles in a group is 1:3. If there are 10 more blue marbles than red marbles, how many red marbles are there?",4,5,8,2,B,Medium,Math,Prep 1,4
"The ratio of wins to losses in a group is 2:1. If there are 6 more wins than losses, how many losses are there?",6,1,-12,7,A,Medium,Math,Prep 1,4
"The ratio of boys to girls in a group is 1:1. If there are 0 more girls than boys, how many girls are there?",7,-14,6,2,A,Medium,Math,Prep 1,4
"The ratio of wins to losses in a group is 4:5. If there are 5 more losses than wins, what is the total number of wins and losses?",44,40,46,45,D,Medium,Math,Prep 1,4
"The ratio of boys to girls in a group is 2:3. If there are 12 more girls than boys, how many boys are there?",23,25,-48,24,D,Medium,Math,Prep 1,4
"The ratio of red marbles to blue marbles in a group is 4:9. If there are 35 more blue marbles than red marbles, what is the total number of red marbles and blue marbles?",87,96,91,182,C,Medium,Math,Prep 1,4
"The ratio of apples to oranges in a group is 5:1. If there are 48 more apples than oranges, how many oranges are there?",13,11,12,7,C,Medium,Math,Prep 1,4
"An amount of $666 is divided among P, Q, and R in the ratio 48:112:32. What is Q's share?",388,385,389,387,A,Hard,Math,Prep 1,4
"An amount of $863 is divided among P, Q, and R in the ratio 150:45:75. What is Q's share?",140,-432,143,144,D,Hard,Math,Prep 1,4
"An amount of $677 is divided among P, Q, and R in the ratio 40:48:24. What is Q's share?",-870,292,290,285,C,Hard,Math,Prep 1,4
"An amount of $301 is divided among P, Q, and R in the ratio 19:19:171. What is R's share?",250,249,246,245,C,Hard,Math,Prep 1,4
"An amount of $316 is divided among P, Q, and R in the ratio 12:6:42. What is P's share?",-126,63,60,67,B,Hard,Math,Prep 1,4
"An amount of $927 is divided among P, Q, and R in the ratio 14:56:70. What is R's share?",463,-928,464,466,C,Hard,Math,Prep 1,4
"Let A = {17, 11, 6} and B = {16, 19, 4, 14}. Find A - B.","[4, 6, 11, 17]","[6, 11, 17]","[11, 14, 17]","[6, 11, 14, 17]",B,Easy,Math,Prep 1,4
"Let A = {17, 18, 12} and B = {1, 6, 8, 11, 12, 14, 17}. Find A ∩ B.",[12],"[12, 17, 26]","[12, 17]",[17],C,Easy,Math,Prep 1,4
"Let A = {1, 4, 9, 10, 11, 13, 18, 19} and B = {1, 3, 12, 5}. Find A - B.","[4, 9, 10, 11, 13, 15, 18, 19, 21]","[4, 10, 11, 13, 18, 19, 22]","[4, 9, 10, 11, 13, 18, 19]","[1, 10, 11, 12, 14, 28]",C,Easy,Math,Prep 1,4
"Let A = {1, 4, 5, 6, 9, 14} and B = {2, 3, 8, 17, 19}. Find A - B.","[1, 4, 5, 6, 9, 14, 24]","[1, 4, 5, 6, 9, 14]","[11, 14, 17, 18, 22, 29]","[1, 4, 6, 9, 14]",B,Easy,Math,Prep 1,4
"Let A = {4, 6, 8, 14, 15, 19} and B = {4, 5, 7, 12, 19}. Find A ∩ B.","[4, 19]","[4, 14, 19, 22]","[4, 7]","[4, 8, 19, 26]",A,Easy,Math,Prep 1,4
"Let A = {3, 5, 7, 9, 11, 12, 13, 15} and B = {17, 18, 12, 4}. Find A - B.","[3, 5, 7, 9, 11, 13, 15, 29]","[3, 5, 7, 9, 11, 13, 15]","[3, 5, 7, 9, 11, 13, 15, 27]","[3, 5, 7, 9, 10, 11, 13, 15, 18]",B,Easy,Math,Prep 1,4
"Let A={1, 4, 8, 9, 10, 13}, B={8, 1, 14}, C={2, 3, 6, 7, 13, 17, 18, 19}. Find (A ∪ B) ∩ C.",{},"[7, 13]","[7, 8]",[13],D,Medium,Math,Prep 1,4
"Let A={4, 6, 16, 17, 19}, B={17, 5, 3, 13}, C={16, 17, 19, 8}. Find (A ∩ B) ∪ C.","[16, 17, 19]","[8, 17, 19]","[8, 16, 17, 19]","[8, 16, 17]",C,Medium,Math,Prep 1,4
"Let A={1, 3, 13, 9}, B={1, 2, 3, 7, 10, 11, 13, 16}, C={16, 9, 12, 7}. Find (A ∩ B) ∪ C.","[1, 3, 4, 7, 9, 12, 13, 16]","[1, 2, 9, 19, 23, 25, 26]","[1, 3, 7, 9, 12, 13, 16]","[1, 3, 7, 12, 13, 16]",C,Medium,Math,Prep 1,4
"Let A={6, 7, 8, 12, 19}, B={3, 4, 5, 13, 14, 15, 17, 19}, C={18, 10, 14, 6}. Find (A ∪ B) ∩ C.","[6, 14]","[4, 6, 14]","[2, 6, 14, 25]",[14],A,Medium,Math,Prep 1,4
"Let A={1, 4, 8, 13, 15, 18, 19}, B={9, 18, 7}, C={3, 5, 6, 9, 10, 17, 18}. Find (A ∩ B) ∪ C.","[2, 4, 5, 13, 18, 21, 23, 29]","[2, 3, 5, 6, 10, 17, 18]","[3, 6, 11, 19, 28, 29]","[3, 5, 6, 9, 10, 17, 18]",D,Medium,Math,Prep 1,4
"Let A={3, 5, 11, 12, 13, 16, 17, 18}, B={4, 5, 7}, C={16, 8, 18, 7}. Find (A ∪ B) ∩ C.","[7, 16, 18]","[7, 18]","[12, 29]","[7, 18, 29]",A,Medium,Math,Prep 1,4
"Let A={18, 11, 4, 13}, B={1, 14, 6}, C={1, 3, 4, 10, 13, 14, 15, 18}. Find (A ∪ B) - C.","[11, 20]","[11, 15]","[6, 11]",[6],C,Medium,Math,Prep 1,4
"Let A={5, 8, 13, 15, 19}, B={17, 4, 12, 13}, C={16, 6, 7}. Find (A ∩ B) ∪ C.","[6, 7, 9, 13, 16]","[6, 7, 13, 16]","[5, 15, 20, 26, 29]","[6, 7, 16]",B,Medium,Math,Prep 1,4
"Given A = {1, 2, 5, 6, 16, 19} and B = {3, 12, 5, 14}. Find the cardinality of A - B (i.e., |A - B|).",8,7,0,5,D,Hard,Math,Prep 1,4
"Given A = {1, 18, 19, 7} and B = {2, 3, 6, 9, 15}. Find the cardinality of A - B (i.e., |A - B|).",6,4,3,-1,B,Hard,Math,Prep 1,4
"Given A = {2, 9, 10, 12, 19} and B = {3, 11, 15, 18, 19}. Find the cardinality of A ∪ B (i.e., |A ∪ B|).",5,13,9,27,C,Hard,Math,Prep 1,4
"Given A = {3, 6, 12, 16, 19} and B = {8, 3, 5}. Find the cardinality of A - B (i.e., |A - B|).",4,8,0,-1,A,Hard,Math,Prep 1,4
"Given A = {1, 12, 14, 16, 19} and B = {7, 8, 9, 12, 13}. Find the cardinality of A ∪ B (i.e., |A ∪ B|).",-27,7,9,13,C,Hard,Math,Prep 1,4
"Given A = {8, 12, 13, 7} and B = {2, 5, 6, 11, 13, 15, 17, 18}. Find the cardinality of A △ B (i.e., |A △ B|).",5,-20,10,13,C,Hard,Math,Prep 1,4
Calculate (evaluate multiplication/division before addition/subtraction): (0/1) * (1/9) - (-5/2),5,5-Feb,2-Jul,2-May,D,Hard,Math,Prep 1,4
Calculate (evaluate multiplication/division before addition/subtraction): (-1/1) * (7/4) - (5/4),-0.5,-1,-3,3,C,Hard,Math,Prep 1,4
"A frequency table shows the following counts for favorite colors: Purple: 5, Green: 5, Blue: 14. What is the frequency of Blue?",14,13,24,16,A,Easy,Math,Prep 1,4
"A frequency table shows the following counts for favorite colors: Red: 11, Green: 16, Purple: 10. What is the frequency of Purple?",5,10,11,8,B,Easy,Math,Prep 1,4
"A frequency table shows the following counts for favorite colors: Purple: 14, Yellow: 5, Blue: 13. What is the frequency of Yellow?",5,3.73,5.61,10,A,Easy,Math,Prep 1,4
What type of data is described by: Number of pets owned by families?,Quantitative,Mean,Frequency,Not Quantitative,A,Easy,Math,Prep 1,4
What type of data is described by: Number of pets owned by families?,Group B,Other,Standard Deviation,Quantitative,D,Easy,Math,Prep 1,4
What type of data is described by: Number of pets owned by families?,Other,Type C,Quantitative,Group B,C,Easy,Math,Prep 1,4
"A frequency table shows the following counts for favorite colors: Green: 20, Blue: 8, Purple: 8. What is the frequency of Purple?",7,9,7.22,8,D,Easy,Math,Prep 1,4
What type of data is described by: Time taken to run 100m in seconds?,Quantitative,Frequency,Median,Type C,A,Easy,Math,Prep 1,4
What type of data is described by: Heights of students in cm?,Quantitative,Mean,Category A,Range,A,Easy,Math,Prep 1,4
What type of data is described by: Number of pets owned by families?,Group B,Discrete,Qualitative,Quantitative,D,Easy,Math,Prep 1,4
"Given the dataset: 4, 4, 5, 5, 6, 6, 8, 9, 9, 10, 10, 10, 14, 15, 15, 15, 16, 16, 17, 17, 18, 19, 21, 22, 22, 23, 26, 26, 26, 27, 28, 28, 28, 29, 29, 30, 30, 31, 31, 33, 33, 35, 35, 36, 37, 37, 37, 37, 39, 40. If data is grouped into classes 1-10, 11-20, 21-30, 31-40, what is the frequency of the class 1-10?",13,24,-12,12,D,Hard,Math,Prep 1,4
"A grouped frequency table is given: 1-10: 8, 11-20: 8, 21-30: 10, 31-40: 11. What is the cumulative frequency for values less than or equal to 10?",9.12,4,6.82,8,D,Hard,Math,Prep 1,4
"A grouped frequency table is given: 1-10: 12, 11-20: 13, 21-30: 15, 31-40: 9. What is the cumulative frequency for values less than or equal to 30?",40,38,41,-40,A,Hard,Math,Prep 1,4
"A grouped frequency table is given: 1-10: 9, 11-20: 5, 21-30: 7, 31-40: 11. What is the cumulative frequency for values less than or equal to 10?",9,10,8.15,-9,A,Hard,Math,Prep 1,4
"Given the dataset: 2, 3, 3, 4, 5, 7, 7, 7, 8, 11, 11, 11, 12, 13, 14, 15, 17, 18, 18, 20, 23, 23, 24, 25, 27, 28, 30, 31, 32, 32, 34, 35, 36, 37, 38, 39, 39. If data is grouped into classes 1-10, 11-20, 21-30, 31-40, what is the frequency of the class 21-30?",10.5,6,7,8,C,Hard,Math,Prep 1,4
"A grouped frequency table is given: 1-10: 12, 11-20: 6, 21-30: 7, 31-40: 7. What is the cumulative frequency for values less than or equal to 20?",18,17,-18,19,A,Hard,Math,Prep 1,4
"A grouped frequency table is given: 1-10: 8, 11-20: 11, 21-30: 8, 31-40: 9. What is the cumulative frequency for values less than or equal to 10?",7,-8,8,6,C,Hard,Math,Prep 1,4
"Given the dataset: 1, 1, 1, 2, 4, 6, 7, 7, 12, 12, 12, 12, 13, 14, 15, 16, 17, 17, 18, 19, 19, 20, 22, 22, 25, 26, 27, 30, 30, 31, 31, 32, 34, 34, 34, 34, 35, 35, 36, 38, 40, 40. If data is grouped into classes 1-10, 11-20, 21-30, 31-40, what is the frequency of the class 21-30?",3.5,6,14,7,D,Hard,Math,Prep 1,4
"Given the dataset: 1, 2, 4, 5, 5, 7, 7, 7, 8, 9, 9, 10, 12, 13, 15, 18, 18, 20, 21, 21, 21, 22, 24, 25, 25, 26, 26, 26, 26, 29, 29, 31, 32, 32, 33, 34, 35, 36, 36, 40, 40. If data is grouped into classes 1-10, 11-20, 21-30, 31-40, what is the frequency of the class 31-40?",5,12,10,11,C,Hard,Math,Prep 1,4
"Given the dataset: 1, 1, 4, 5, 5, 6, 8, 9, 9, 11, 11, 13, 13, 13, 13, 14, 14, 14, 15, 15, 16, 16, 18, 19, 20, 20, 21, 21, 22, 22, 22, 23, 24, 25, 26, 27, 27, 27, 29, 29, 31, 31, 31, 31, 32, 32, 33, 34, 35, 35. If data is grouped into classes 1-10, 11-20, 21-30, 31-40, what is the frequency of the class 1-10?",9,11,9.11,8,A,Hard,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 9, 14, 3, 15.",11.25,5.25,-10.25,10.25,D,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 9, 6, 20, 2.",4.62,9.92,9.25,9,C,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 2, 3, 18, 7, 6, 15, 18.",9,9.86,-9.86,10.86,B,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 2, 20, 14, 15, 11, 13, 14.",15,12.71,13.71,14.71,B,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 13, 3, 2, 20, 12.",15,20,12,10,D,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 16, 7, 8, 15, 15, 3, 17.",12.57,23.14,11.57,21.57,C,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 20, 19, 4, 18, 11, 10, 19.",12,13.43,15,14.43,D,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 5, 15, 2, 13.",8.75,9.03,-8.75,8.37,A,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 19, 2, 6, 6, 18, 14.",20.83,21.66,10.83,11.83,C,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following numbers: 3, 20, 20, 8, 19.",-14,15,14,28,C,Easy,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 15.9, 5.3, 9.5, 2.1.",7.2,9.2,9.04,8.2,D,Medium,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 13.0, 11.2, 12.3, 9.2.",10.43,12,17.14,11.43,D,Medium,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 4.3, 17.9, 11.8, 19.1, 10.3, 20.0.",16,12.9,15,13.9,D,Medium,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 6.2, 2.8, 14.8, 16.2, 3.6.",8.72,8.44,9.43,8.87,A,Medium,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 9.1, 19.7, 8.7, 11.8, 8.4, 19.2.",12.82,13,25.64,13.82,A,Medium,Math,Prep 1,4
"Calculate the arithmetic mean of the following decimal numbers: 4.5, 4.0, 4.3, 4.6.",3,3.35,4.35,3.89,C,Medium,Math,Prep 1,4
"The arithmetic mean of the numbers 8, 25, 8, 29, 5, x is 15. What is the value of x?",13,10,17,15,D,Hard,Math,Prep 1,4
"The arithmetic mean of the numbers 12, 22, 10, 12, x is 21. What is the value of x?",50,24.5,49,98,C,Hard,Math,Prep 1,4
"Calculate the estimated mean from the grouped frequency distribution: Class 1-5: Freq 12, Class 6-10: Freq 4, Class 11-15: Freq 10, Class 16-20: Freq 7. (Use class midpoints)",14.73,9.82,10,11,B,Hard,Math,Prep 1,4
"The arithmetic mean of the numbers 4, 1, 23, 7, x is 9. What is the value of x?",15,9,10,20,C,Hard,Math,Prep 1,4
"The arithmetic mean of the numbers 20, 7, 30, 24, 15, x is 15. What is the value of x?",-7.35,-3,-7,-6,D,Hard,Math,Prep 1,4
"Calculate the estimated mean from the grouped frequency distribution: Class 1-5: Freq 9, Class 6-10: Freq 5, Class 11-15: Freq 10, Class 16-20: Freq 11. (Use class midpoints)",9.29,10,11.29,10.29,C,Hard,Math,Prep 1,4
"Calculate the estimated mean from the grouped frequency distribution: Class 1-5: Freq 7, Class 6-10: Freq 10, Class 11-15: Freq 8, Class 16-20: Freq 6. (Use class midpoints)",10.1,10,12,9.1,A,Hard,Math,Prep 1,4
"The arithmetic mean of the numbers 20, 17, 23, 1, 26, x is 19. What is the value of x?",32,27,54,26,B,Hard,Math,Prep 1,4
"Calculate the estimated mean from the grouped frequency distribution: Class 1-5: Freq 6, Class 6-10: Freq 7, Class 11-15: Freq 8, Class 16-20: Freq 6. (Use class midpoints)",15.88,10.59,9.59,0.59,B,Hard,Math,Prep 1,4
"Calculate the estimated mean from the grouped frequency distribution: Class 1-5: Freq 10, Class 6-10: Freq 9, Class 11-15: Freq 4, Class 16-20: Freq 11. (Use class midpoints)",10.35,11.35,15.52,20.35,A,Hard,Math,Prep 1,4
"Consider the following dataset: 3, 2, 1, 4, 5, 3, 2, 2, 3, 4, 4, 3, 2, 3, 5, 1, 2, 4, 1. What is the relative frequency of the value 4 (rounded to two decimal places)?",0.78,-1.18,0.42,0.21,D,Medium,Math,Prep 1,5
"Consider the following dataset: 1, 4, 5, 2, 5, 2, 1, 2, 3, 1, 3, 2, 4, 5, 3, 5, 1, 1, 4. What is the relative frequency of the value 4 (rounded to two decimal places)?",-1.31,0.08,0.16,-0.84,C,Medium,Math,Prep 1,5
"Consider the following dataset: 1, 1, 1, 3, 3, 2, 5, 1, 2, 5, 4, 1, 4, 5, 1, 4, 4. What is the frequency of the value 1?",6,3,-6,8,A,Medium,Math,Prep 1,5
"Consider the following dataset: 2, 1, 1, 2, 2, 5, 4, 3, 2, 1, 2, 2, 3, 2, 3, 4, 2. What is the relative frequency of the value 5 (rounded to two decimal places)?",-2,-0.72,1,0.06,D,Medium,Math,Prep 1,5
"Consider the following dataset: 5, 3, 2, 2, 1, 3, 1, 2, 1, 3, 2, 1, 4, 1, 4, 3, 4, 5, 2, 3, 3, 3, 2, 2. What is the frequency of the value 4?",4.5,4.48,3,6,C,Medium,Math,Prep 1,5
"Consider the following dataset: 2, 3, 2, 4, 4, 2, 2, 2, 5, 4, 5, 5, 3, 5, 4, 3, 2, 5, 4, 5. What is the relative frequency of the value 3 (rounded to two decimal places)?",0.3,-1,0.22,0.15,D,Medium,Math,Prep 1,5
"Consider the following dataset: 5, 5, 4, 2, 3, 2, 3, 1, 4, 1, 5, 4, 3, 1, 5, 5, 3, 4, 1, 3, 1, 4, 2. What is the relative frequency of the value 4 (rounded to two decimal places)?",0.22,-0.47,1.26,2,A,Medium,Math,Prep 1,5
"Consider the following dataset: 4, 4, 5, 2, 4, 2, 3, 1, 3, 1, 1, 2, 3, 1, 1, 2. What is the relative frequency of the value 4 (rounded to two decimal places)?",0.41,0.19,1.59,-0.31,B,Medium,Math,Prep 1,5
"Consider the following dataset: 5, 4, 2, 3, 5, 3, 1, 1, 3, 3, 5, 3, 4, 3, 2, 3, 4, 5, 1. What is the relative frequency of the value 4 (rounded to two decimal places)?",-0.84,0.24,0.16,0.66,C,Medium,Math,Prep 1,5
"Consider the following dataset: 1, 1, 1, 3, 2, 4, 3, 1, 5, 5, 5, 3, 4, 5, 5, 2, 5, 2, 1, 4, 1. What is the relative frequency of the value 3 (rounded to two decimal places)?",-2,2,1.18,0.14,D,Medium,Math,Prep 1,5
"Consider the following dataset: 4, 1, 3, 3, 3, 1, 1, 1, 1, 5, 3, 3, 3, 1, 1. What is the relative frequency of the value 3 (rounded to two decimal places)?",-0.6,1.4,-0.59,0.4,D,Medium,Math,Prep 1,5
"Consider the following dataset: 5, 2, 1, 2, 1, 4, 4, 5, 1, 2, 1, 1, 1, 1, 2, 5, 1, 1, 1, 4, 4, 2, 4, 4, 2. What is the relative frequency of the value 2 (rounded to two decimal places)?",2,0.24,0.48,-0.16,B,Medium,Math,Prep 1,5
"Consider the following dataset: 4, 4, 5, 4, 5, 1, 2, 4, 3, 4, 4, 2, 3, 1, 4, 5, 5, 4, 3, 2, 5, 1, 2, 2. What is the relative frequency of the value 5 (rounded to two decimal places)?",-0.23,0.42,1.21,0.21,D,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 4: Freq 9, Value 6: Freq 7, Value 9: Freq 6, Value 7: Freq 6.",-6.21,8,6.21,5.21,C,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 6: Freq 5, Value 7: Freq 6, Value 2: Freq 7, Value 4: Freq 9.",7,4.52,5.54,3.52,B,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 2: Freq 7, Value 9: Freq 3, Value 5: Freq 10, Value 3: Freq 4.",5.68,4.29,5,3.51,B,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 2: Freq 3, Value 5: Freq 7, Value 4: Freq 5, Value 3: Freq 3.",4.92,4.89,3.89,1.95,C,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 2: Freq 4, Value 6: Freq 6, Value 5: Freq 3, Value 7: Freq 3.",6,5.34,6.15,5,D,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 1: Freq 2, Value 4: Freq 4, Value 2: Freq 9, Value 9: Freq 4.",7.58,3.79,3,5,B,Medium,Math,Prep 1,5
"Calculate the mean from the following frequency distribution: Value 9: Freq 6, Value 2: Freq 6, Value 5: Freq 8, Value 1: Freq 3.",3,-4.74,4.74,5.74,C,Medium,Math,Prep 1,5
Evaluate the expression 4 x + 3 when x = 2.,5.5,11,-11,10,B,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 1 when x = -3.,-9,-11,-12,-10,D,Easy,Math,Prep 1,6
Evaluate the expression 3 x + 3 when x = 3.,11,12,22,-12,B,Easy,Math,Prep 1,6
Evaluate the expression 2 x + 1 when x = -5.,-4.5,-19,-9,-8.5,C,Easy,Math,Prep 1,6
Evaluate the expression 3 x + 2 when x = -2.,-8,4,-5,-4,D,Easy,Math,Prep 1,6
Evaluate the expression 3 x + 2 when x = 3.,9,11,9,1,B,Easy,Math,Prep 1,6
Evaluate the expression 4 x - 3 when x = 2.,5,7,-5,3,A,Easy,Math,Prep 1,6
Evaluate the expression 4 x when x = 3.,12,14,24,-12,A,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 5 when x = -5.,-20,20,-10,-19.5,A,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 2 when x = -3.,-11,-22,-9,11,A,Easy,Math,Prep 1,6
Evaluate the expression 4 x + 4 when x = -2.,-2,-3,-6,-4,D,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 5 when x = -3.,-16,-4,-14,14,C,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 4 when x = -1.,-7,-6,-6,-3.5,A,Easy,Math,Prep 1,6
Evaluate the expression 2 x + 5 when x = 2.,7,18,9,-9,C,Easy,Math,Prep 1,6
Evaluate the expression 3 x - 2 when x = 4.,-10,20,12,10,D,Easy,Math,Prep 1,6
Simplify the expression: (5 x + 2 y) - (2 x - 2 y),3*5*x + 4*y,3*x + 4*y + 1,3*x + 4*y,3*x + 4*y + y,C,Medium,Math,Prep 1,6
Simplify the expression: (2 x + 4 y) + (5 x - 5 y),2*x - 1,7*x - y,7*3*x - y,#NAME?,B,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 5 y) - (2 x - y),x + 6*y,x + y,#NAME?,4*x + 6*y,A,Medium,Math,Prep 1,6
Simplify the expression: (2 x + y) + (3 x - 2 y),5*2*x - y,5*x - y,expression,5*4*x - y,B,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 3 y) - (3 x - 2 y),5*y,5*y + 1,a*b,#NAME?,A,Medium,Math,Prep 1,6
Simplify the expression: (4 x + 4 y) - (3 x - 2 y),x + 6*y,2*x - 1,#NAME?,x + 6*y + y,A,Medium,Math,Prep 1,6
Simplify the expression: (4 x + 5 y) + (3 x - 5 y),x + y,expression,7*x,7*x + 1,C,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 5 y) - (3 x - 3 y),8*y,#NAME?,8*y + 1,8*y - x,A,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 5 y) + (2 x - y),5*x + 4*y,5*4*x + 4*y,x + y,5*x + 4*y + 1,A,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 3 y) + (2 x - y),5*x + 2*y,5*4*x + 2*y,5*x + 2*y + y,5*x + 2*y + 1,A,Medium,Math,Prep 1,6
Simplify the expression: (4 x + y) + (5 x - 4 y),a*b,9*x - 3*y + y,#NAME?,9*x - 3*y,D,Medium,Math,Prep 1,6
